City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,ust-nera,64.5667,143.2,-42.31,98,45,0.68,RU,1708164905
111,hamilton,39.1834,-84.5333,-4.95,88,0,2.57,US,1708164674
112,hermanus,-34.4187,19.2345,21.56,53,59,3.42,ZA,1708164906
113,sena madureira,-9.0656,-68.6569,22.98,97,93,0.39,BR,1708164907
114,qinggang,46.6833,126.0833,0.32,81,78,6.32,CN,1708164629
115,mahibadhoo,3.7833,72.9667,27.58,81,84,7.53,MV,1708164908
116,itapage,-3.6867,-39.5861,24.54,88,100,1.02,BR,1708164909
117,murun-kuren,49.6342,100.1625,-19.57,76,100,4.23,MN,1708164909
118,tiksi,71.6872,128.8694,-36.9,100,83,1.34,RU,1708164910
119,lazaro cardenas,17.9583,-102.2,21.52,90,100,0.31,MX,1708164911
120,minas de marcona,-15.2119,-75.1103,18.07,90,100,5.1,PE,1708164911
121,laguna,38.421,-121.4238,11.76,88,0,3.6,US,1708164912
122,west bay,19.3667,-81.4167,25.74,76,6,4.46,KY,1708164913
123,hailar,49.2,119.7,-10.83,96,100,3.51,CN,1708164913
124,petropavlovsk-kamchatsky,53.0452,158.6483,-9.67,24,0,7.0,RU,1708164914
125,punta arenas,-53.15,-70.9167,9.06,87,40,3.6,CL,1708164914
126,alaghsas,17.0187,8.0168,23.94,17,20,10.29,NE,1708164915
127,shalqar,47.8333,59.6,-13.18,71,60,7.57,KZ,1708164915
128,zvishavane,-20.3267,30.0665,36.33,19,4,2.75,ZW,1708164916
129,hotan,37.0997,79.9269,13.86,14,100,3.07,CN,1708164917
130,robore,-18.3333,-59.75,24.52,75,100,1.21,BO,1708164918
131,bamboo flat,11.7,92.7167,30.05,70,40,3.6,IN,1708164918
132,wotho,10.1657,166.0102,26.55,83,98,10.55,MH,1708164919
133,saint-francois,46.4154,3.9054,10.23,81,100,2.57,FR,1708164920
134,serchhip,23.3,92.8333,23.5,27,1,2.57,IN,1708164920
135,brisas de zicatela,15.8369,-97.0419,25.94,67,96,3.36,MX,1708164921
136,iwanai,42.9744,140.5089,-2.81,87,95,2.68,JP,1708164921
137,jamestown,42.097,-79.2353,-3.23,90,100,2.68,US,1708164919
138,saint-julien-les-villas,48.2667,4.1,9.98,71,100,1.54,FR,1708164922
139,saipan,15.1355,145.701,26.39,89,75,4.63,MP,1708164923
140,bochum,51.4833,7.2167,11.03,91,99,0.45,DE,1708164924
141,cockburn town,21.4612,-71.1419,24.91,76,35,6.2,TC,1708164924
142,lorengau,-2.0226,147.2712,28.17,80,27,1.48,PG,1708164925
143,labytnangi,66.6572,66.4183,-22.47,89,21,2.64,RU,1708164926
144,klyuchi,52.2667,79.1667,-18.7,87,100,6.33,RU,1708164926
